bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
CF Almora, A       31| 102/102     102/102   9/  8 | 114 (104) | -6---877 |  + | CF,OF,H       |     $6.12Mx5 |  $5.62M | LF p4150 | Philadelphia Phil... | ***
SP Despaigne, O    32| 103/103     103/103   0/  9 | 114 (104) |          |  + | SP,P          |        $4M a | $673.2k | MR p4710 | Philadelphia Phil... | *^
SS Sohn, A         23|  74/ 98/ 97  77/ 74 -19/  5 | 110 (100) | -25-6--- |    | SS,IF,H       |  1           |         |    p1686 | Philadelphia Phil... | +++++
2B Barnes, C       19|  71/ 96/ 94  62/ 73 -22/  2 | 109 ( 99) | -388---- |  + | IF,H          |              |         | 3B p2142 | Philadelphia Phil... | +++
SP Ibarra, M       29| 100/100      96/102  -3/  6 | 109 ( 99) |          |  - | SP,P          |      $550k a |         | MR  p277 | Philadelphia Phil... | *
SP Jimenez, M      24|  87/ 97      86/ 87 -16/  3 | 108 ( 98) |          |  + | SP,P          |  9   $500k r |         |     p509 | Philadelphia Phil... | ++++-
CF Garcia, M       27|  98/ 98      94/ 98   5/  4 | 108 ( 98) | -2---887 |  - | CF,OF,H       |     $3.02M a |  $3.42M |    p1310 | Philadelphia Phil... | ***
1B Morales, W      23|  92/ 96      84/ 93  -1/  2 | 107 ( 97) | -3------ |  + | H             | F            | $673.2k |     p990 | Philadelphia Phil... | ++++
2B Rosales, W      23|  79/ 96/ 95  86/ 78 -14/  3 | 107 ( 97) | -25----- |  + | IF,H          |  T           |         |     p280 | Philadelphia Phil... | ++++
1B Hoskins, R      26|  91/ 97      94/ 91  -2/  3 | 107 ( 97) | -4------ | +  | H             |              |         |    p2662 | Philadelphia Phil... | **
3B Franco, M       33| 100/100      97/100   7/  8 | 107 ( 97) | -355---- |  - | IF,H          |     $8.72Mx3 |  $4.52M | 2B p4632 | Philadelphia Phil... | ***
1B Leister, R      21|  66/ 99/ 95  71/ 65 -27/  1 | 106 ( 96) | -4------ | -+ | H             |  8           |         |     p947 | Philadelphia Phil... | ++++-
 C Young, D        26|  83/ 89      84/ 83   4/ 10 | 104 ( 95) | 71------ |  - | C,H           | F            |  $2.87M |     p801 | Philadelphia Phil... | *
 C Young, C        23|  67/ 87/ 86  62/ 68 -12/  7 | 102 ( 93) | 61------ |  + | C,H           |              |         |      p53 | Philadelphia Phil... | +++
SS Hannah, C       24|  92/ 93      82/ 94  -1/  1 | 102 ( 93) | -74-6--- |  + | SS,IF,H       |              | $673.2k | 1B p2453 | Philadelphia Phil... | +++
MR Salvatore, L    22|  59/ 90/ 86  69/ 68 -33/  4 | 101 ( 92) |          | ++ | MR,P          |              |         |    p1570 | Philadelphia Phil... | +++++
3B Jimenez, E      30|  94/ 94      87/ 96   1/  2 | 101 ( 92) | -3-4-4-4 | ++ | IF,OF,H       |        $2M r |  $1.22M |    p1220 | Philadelphia Phil... | *
1B Malm, J         35|  98/ 94      92/ 99   5/  0 | 100 ( 91) | -5------ |  + | H             |     $3.21Mx2 |  $3.42M |    p1313 | Philadelphia Phil... | **^
2B Stephenson, C   20|  67/ 88/ 87  74/ 66 -26/ -5 |  99 ( 90) | -24----- |  + | IF,H          |              |         |    p2088 | Philadelphia Phil... | ++-
SS Roberts, J      22|  72/ 89/ 88  70/ 73 -21/ -4 |  99 ( 90) | -37-7--- | ++ | SS,IF,H       |              |         |    p1782 | Philadelphia Phil... | +++
SP Habib, R        23|  70/ 91/ 90  75/ 67 -33/ -4 |  99 ( 90) |          | +  | SP,P          |              |         |     p592 | Philadelphia Phil... | ++++
SP Ruff, P         23|  76/ 89      76/ 76 -27/ -5 |  99 ( 90) |          | ++ | SP,P          |  6   $500k r |         |    p2794 | Philadelphia Phil... | +++++
CF Baca, A         26|  87/ 92      87/ 87  -6/ -2 |  99 ( 90) | -2---783 |  + | CF,OF,H       | F            |         |    p1238 | Philadelphia Phil... | *
RF Campillo, A     22|  83/ 90      83/ 83 -10/ -4 |  97 ( 88) | -1---3-4 | -- | OF,H          |              |         | LF p1861 | Philadelphia Phil... | +++
MR Lindahl, D      24|  69/ 87/ 86  80/ 81 -23/  4 |  97 ( 88) |          | -+ | MR,P          |              |         |     p701 | Philadelphia Phil... | +++++
SP Diplan, M       28|  93/ 93     124/ 83 -10/ -1 |  97 ( 88) |          |    | SP,P          |      $550k a |         | CL p1327 | Philadelphia Phil... | ***
SP Clymer, T       29|  93/ 93      93/ 93 -10/ -1 |  97 ( 88) |          |  + | SP,P          |      $550k a |         | MR  p625 | Philadelphia Phil... | *
SS Ahmed, N        36|  99/ 90      99/ 99   6/ -2 |  97 ( 88) | -38-8--- |  + | SS,IF,H       | F   $2.18M   |  $3.97M | 2B p3886 | Philadelphia Phil... | **^
SP Derrick, S      28|  92/ 92      87/ 94 -11/ -2 |  95 ( 86) |          |    | SP,P          |      $500k r |         | MR p2842 | *CEI* Philadelphi... | *^
SP Barrick, F      22|  65/ 87/ 86  64/ 66 -38/ -8 |  94 ( 86) |          |  - | SP,P          |              |         |     p373 | Philadelphia Phil... | +++
LF Huertas, P      19|  61/ 81/ 80  56/ 62 -32/-14 |  93 ( 85) | -1---3-- |  + | OF,H          |              |         |    p1936 | Philadelphia Phil... | ++
1B Lucero, B       21|  69/ 82      69/ 68 -24/-12 |  93 ( 85) | -3------ |  + | H             |              |         |    p3420 | Philadelphia Phil... | ++
SP Rodriguez, B    21|  57/ 86/ 83  54/ 58 -46/-11 |  93 ( 85) |          |    | SP,P          |  7           |         |      p18 | Philadelphia Phil... | +++++
SP Green, N        25|  70/ 90/ 89  77/ 67 -33/ -5 |  93 ( 85) |          | -- | SP,P          |              |         |    p1216 | Philadelphia Phil... | +++-
SP Jepsen, R       27|  91/ 91      85/ 94 -12/ -3 |  93 ( 85) |          |  - | SP,P          |      $500k r |         | MR p1881 | Philadelphia Phil... | *^
CF Soler, J        34|  93/ 92      99/ 92   0/ -2 |  92 ( 84) | -2---768 |    | CF,OF,H       |      $1.7Mx2 | $673.2k | RF p3824 | Philadelphia Phil... | **^

**Washington Na...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SP Murphy, D       27| 125/125     123/127  22/ 31 | 163 (148) |          |  + | SP,P          |      $500k r | $12.75M |     p938 | Washington Nationals | ***
3B Garcia-Pa..., E 25| 113/118     118/112  20/ 26 | 151 (137) | -2-4---- |  + | IF,H          |     $1.81M a | $11.66M |     p916 | Washington Nationals | **^
SP Zeman, B        34| 120/119     110/125  17/ 25 | 143 (130) |          | -+ | SP,P          | F     $20M   | $10.01M |      p36 | Washington Nationals | **^
 C Jackson, A      26| 101/103     101/101  22/ 24 | 134 (122) | 81------ |  + | C,H           |      $500k r | $12.75M |    p2332 | Washington Nationals | **
SS Hays, H         27| 106/106     111/105  13/ 14 | 127 (116) | -37-7--5 |  + | SS,IF,OF,H    |     $1.45M a |  $7.81M | 2B p1389 | Washington Nationals | ***
SP Julio, E        32| 107/107     117/102   4/ 13 | 123 (112) |          | ++ | SP,P          |     $2.75M a |  $2.87M |    p1252 | Washington Nationals | **^
1B McManis, R      30| 105/105     106/105  12/ 11 | 119 (108) | -3------ |  - | H             |     $1.15M a |  $7.26M |     p275 | Washington Nationals | **^
MR Bouton, J       30|  96/ 96     114/109   7/ 15 | 115 (105) |          |  + | MR,P          |      $550k a |  $4.52M |     p273 | Washington Nationals | *^
CF Kepler-Ro..., M 33| 104/104      97/106  11/ 10 | 115 (105) | -3---888 | -+ | CF,OF,H       |        $3Mx2 |  $6.71M |    p1698 | Washington Nationals | **^
1B Ferrell, L      29| 101/101     106/100   8/  7 | 114 (104) | -2------ |  + | H             |      $550k a |  $5.07M |    p2926 | Washington Nationals | **
SP Furlong, M      28|  99/ 99     105/ 97  -4/  5 | 111 (101) |          | ++ | SP,P          |      $500k a |         |     p268 | Washington Nationals | *^
1B Grillo, H       17|  62/101/ 95  62/ 61 -31/  1 | 110 (100) | -6------ |    | H             |  3           |         |    p2780 | Washington Nationals | +++++
CF Fields, D       35| 102/ 98     102/102   9/  6 | 108 ( 98) | -24--893 |  + | CF,OF,IF,H    | F    $900k   |  $5.62M |     p329 | Washington Nationals | **
SP Brosius, M      24|  75/ 98/ 97  78/ 74 -28/  3 | 107 ( 97) |          | -+ | SP,P          |  1           |         | MR p2550 | Washington Nationals | +++++
MR Cardona, A      32|  93/ 93     115/104   4/ 12 | 107 ( 97) |          |  + | MR,P          |      $1.5Mx2 |  $2.87M | SP p3401 | Washington Nationals | ***
RF Noguera, A      21|  84/ 94      77/ 85  -9/  0 | 105 ( 96) | -2---2-5 |  + | OF,H          | F            |         |     p966 | Washington Nationals | ++-
 C Hoelscher, B    19|  67/ 87/ 86  71/ 67 -12/  7 | 104 ( 95) | 6------- |  - | C,H           |              |         |    p1286 | Washington Nationals | +++
MR Gilley, J       30|  91/ 91     107/104   2/ 10 | 104 ( 95) |          |    | MR,P          |     $2.58Mx3 |  $1.77M | CL p2795 | Washington Nationals | ****
MR Lee, J          22|  60/ 90/ 87  66/ 70 -32/  5 | 101 ( 92) |          | -+ | MR,P          |              |         |     p739 | Washington Nationals | +++++
 C Perez, A        17|  68/ 83      74/ 67 -11/  4 | 100 ( 91) | 8------- |  - | C,H           |              |         |    p1963 | Washington Nationals | ++
SS Arriola, C      18|  71/ 86      70/ 71 -22/ -6 | 100 ( 91) | -3656--- |  + | SS,IF,H       |              |         |     p463 | Washington Nationals | +++
 C Franklin, K     31|  88/ 88      92/ 87   9/  9 | 100 ( 91) | 2356-3-- |  + | C,IF,OF,H     |      $550k a |  $5.62M | LF p4451 | Washington Nationals | *
 C Perez, S        35|  92/ 88      94/ 92  13/  9 | 100 ( 91) | 62------ | -  | C,H           |        $5Mx2 |  $7.81M |    p2705 | Washington Nationals | **^
1B Smith, T        24|  76/ 92      77/ 76 -17/ -2 |  99 ( 90) | -4------ | -+ | H             |  T           |         |    p2426 | Washington Nationals | +++
3B Donlon, K       19|  70/ 86/ 85  75/ 69 -23/ -7 |  98 ( 89) | -3-6---- | +  | IF,H          |  7           |         |    p2423 | Washington Nationals | +++
SS Hollins, J      19|  68/ 86/ 85  72/ 68 -25/ -7 |  98 ( 89) | -35-7--- |  + | SS,IF,H       |              |         |    p2994 | Washington Nationals | +++
LF Torre, W        20|  66/ 87/ 86  65/ 66 -27/ -8 |  98 ( 89) | -2---4-3 |  + | OF,H          |              |         |     p832 | Washington Nationals | ++
SS Perez, F        32|  94/ 94      92/ 94   1/  2 |  96 ( 87) | -3787--- | -  | SS,IF,H       |      $2.5Mx3 |  $1.22M | 3B p4163 | Washington Nationals | **^
SP Acuña, F        20|  67/ 87/ 86  72/ 65 -36/ -8 |  95 ( 86) |          | -- | SP,P          |  2           |         |    p3435 | Washington Nationals | +++++
 C Martorell, H    20|  53/ 88/ 82  49/ 54 -26/  3 |  95 ( 86) | 61------ |  - | C,H           |              |         |     p999 | Washington Nationals | ++-
2B Bautista, T     25|  79/ 90      88/ 78 -14/ -2 |  95 ( 86) | -36----3 |  - | IF,OF,H       |  5           |         |     p330 | Washington Nationals | +++
SS Husk, W         30|  91/ 91      91/ 91  -2/ -1 |  94 ( 86) | -3787--- | +  | SS,IF,H       |      $500k r |         |     p126 | Washington Nationals | **
MR Smail, T        20|  52/ 87/ 81  57/ 61 -40/ -1 |  93 ( 85) |          |  + | MR,P          |              |         |    p1472 | Washington Nationals | +++++
2B Hensley, T      21|  72/ 81      72/ 72 -21/-11 |  92 ( 84) | -25----- |  + | IF,H          |              |         |     p460 | Washington Nationals | ++
1B Saulter, M      21|  60/ 83/ 81  58/ 61 -33/-13 |  92 ( 84) | -2------ |  + | H             |  8           |         |    p1275 | Washington Nationals | +++
1B Gingras, S      23|  71/ 83      74/ 71 -22/-11 |  92 ( 84) | -2------ |  + | H             | F            |         |     p686 | Washington Nationals | ++
SS Perez, A        23|  71/ 84      71/ 72 -22/ -8 |  91 ( 83) | -36-6--- |  - | SS,IF,H       |  9           |         | 2B p3411 | Washington Nationals | +++
CF Cespedes, C     19|  56/ 79/ 77  50/ 57 -37/-17 |  90 ( 82) | -2---658 |  + | CF,OF,H       |              |         | LF  p612 | Washington Nationals | ++-
1B Salls, A        19|  60/ 80/ 79  62/ 59 -33/-15 |  90 ( 82) | -3------ |  - | H             |              |         |    p1624 | Washington Nationals | ++
2B Santiago, E     20|  65/ 80/ 79  69/ 64 -28/-13 |  90 ( 82) | -26----- |    | IF,H          |              |         |    p2709 | Washington Nationals | ++-
SP Jolicoeur, J    21|  59/ 82/ 80  57/ 61 -44/-14 |  90 ( 82) |          | -+ | SP,P          |  6           |         |    p2511 | Washington Nationals | +++
SS Saez, J         21|  64/ 80/ 79  66/ 63 -29/-13 |  90 ( 82) | -4999--- |  + | SS,IF,H       |              |         |    p2449 | Washington Nationals | ++-
RF Manzanares, J   22|  63/ 81/ 80  67/ 62 -30/-14 |  89 ( 81) | -2---3-5 |    | OF,H          |              |         |     p956 | Washington Nationals | ++
RF Perez, G        23|  67/ 80      62/ 68 -26/-14 |  89 ( 81) | -2---4-4 |  + | OF,H          | F            |         |    p1111 | Washington Nationals | ++-
SP Klahn, J        24|  74/ 81      75/ 73 -29/-13 |  89 ( 81) |          |  + | SP,P          | F4           |         |    p1297 | Washington Nationals | +++-
MR Gomez, V        21|  62/ 80/ 79  72/ 72 -30/ -3 |  88 ( 80) |          | -  | MR,P          |              |         |    p2811 | Washington Nationals | +++++
RF Villas, J       21|  55/ 81/ 78  48/ 57 -38/-16 |  88 ( 80) | -2---4-5 |    | OF,H          |              |         | LF p2940 | Washington Nationals | ++
RF Struck, D       22|  68/ 80      68/ 67 -25/-14 |  88 ( 80) | -2---338 |  - | CF,OF,H       |              |         |    p3020 | Washington Nationals | ++-
MR Smith, A        25|  73/ 82      81/ 85 -18/  0 |  87 ( 79) |          |  - | MR,P          |              |         |    p2555 | Washington Nationals | +++++
RF Oehler, J       23|  70/ 79      63/ 71 -23/-15 |  86 ( 78) | -1-----3 | -  | OF,H          |              |         |    p3390 | Washington Nationals | +-

**Chicago (N) Cubs** |     OVR      vL/vR   vRpl   |           |          | XC | 
SS Ayo, A          26| 123/123     123/123  30/ 31 | 161 (147) | -3665--- |  + | SS,IF,H       |    $20.18Mx3 | $17.15M |     p250 | Chicago (N) Cubs     | ****
SP Pilgrim, G      28| 116/116     116/116  13/ 22 | 144 (131) |          |  + | SP,P          |      $2.2M a |  $7.81M |    p1676 | Chicago (N) Cubs     | **^
CF Shipman, A      34| 115/114     110/116  22/ 20 | 136 (124) | -3---989 |    | CF,OF,H       | F   $3.29M   | $12.75M |    p3294 | Chicago (N) Cubs     | ***
MR Gonzalez, J     36| 113/106     124/135  27/ 27 | 132 (120) |          |  + | MR,P          | F  $18.91M   |  $15.5M |    p1444 | Chicago (N) Cubs     | ****
1B Terrazas, A     26| 104/109      90/107  11/ 15 | 131 (119) | -4------ |  + | H             |     $8.14Mx2 |  $6.71M |    p2213 | Chicago (N) Cubs     | *^
MR Clewis, B       30| 103/103     116/121  16/ 24 | 131 (119) |          |  + | MR,P          |     $2.75Mx2 |  $9.46M |     p952 | Chicago (N) Cubs     | **^
SP Appel, M        34| 109/108     115/107   6/ 14 | 122 (111) |          |  + | SP,P          |     $6.75Mx2 |  $3.97M |    p4166 | Chicago (N) Cubs     | **^
2B Michael, L      35| 109/105     110/108  16/ 13 | 119 (108) | -877---- | -- | IF,H          | F  $16.09M   |  $9.46M |    p3868 | Chicago (N) Cubs     | **^
SP Perez, B        32| 103/103     100/105   0/  9 | 114 (104) |          |  + | SP,P          |      $920k a | $673.2k |    p3670 | Chicago (N) Cubs     | **
LF Baldwin, G      35| 104/100      94/105  11/  6 | 112 (102) | -4---3-- |  + | OF,H          |     $7.56Mx2 |  $6.71M |    p2346 | Chicago (N) Cubs     | **^
SP Hagerty, K      20|  68/ 97/ 94  64/ 70 -35/  0 | 105 ( 96) |          | -+ | SP,P          |  1           |         |    p2524 | Chicago (N) Cubs     | +++-
CF Olguin, J       23|  91/ 94      88/ 92  -2/  0 | 104 ( 95) | -2---646 | ++ | CF,OF,H       |  9           |         |    p1862 | Chicago (N) Cubs     | +++
MR Emanuel, K      33|  92/ 92     103/108   3/ 11 | 104 ( 95) |          |  + | MR,P          | F    $2.5M   |  $2.32M |    p4310 | Chicago (N) Cubs     | *^
3B Asche, C        35|  99/ 95     101/ 99   6/  3 | 102 ( 93) | -356---- |  + | IF,H          | F   $4.46M   |  $3.97M |       p5 | Chicago (N) Cubs     | **^
CF Puello, C       35|  93/ 89     106/ 90  14/ 10 | 102 ( 93) | 23---434 |  - | CF,C,OF,H     |     $2.24Mx2 |  $8.36M |    p3090 | Chicago (N) Cubs     | **
LF Baca, P         23|  78/ 94      72/ 79 -15/  0 | 101 ( 92) | -2---4-2 |  - | OF,H          | FT           |         |     p839 | Chicago (N) Cubs     | +++
CF Aplin, A        35|  98/ 94      94/ 98   5/  0 | 100 ( 91) | -2---878 |  + | CF,OF,H       |     $2.84Mx2 |  $3.42M |    p4125 | Chicago (N) Cubs     | **
MR Garcia, Y       35|  95/ 92     113/108   6/ 11 | 100 ( 91) |          | +  | MR,P          |      $785k a |  $3.97M |    p4606 | Chicago (N) Cubs     | **^
CF Piscotty, S     35|  99/ 95     102/ 98   6/  1 | 100 ( 91) | -2---646 | -  | CF,OF,H       | F   $6.63M   |  $3.97M |    p4239 | Chicago (N) Cubs     | **
SP Harvey, M       37| 109/ 93     101/112   6/ -1 | 100 ( 91) |          |  + | SP,P          | F   $9.23M   |  $3.97M |    p3780 | Chicago (N) Cubs     | **^
RF Mucci, T        18|  65/ 88/ 86  68/ 65 -28/ -8 |  99 ( 90) | -2---7-7 |    | OF,H          |              |         |    p3210 | Chicago (N) Cubs     | +++
SS Crump, E        21|  67/ 91/ 89  67/ 67 -26/ -3 |  99 ( 90) | -3765--- | -+ | SS,IF,H       |              |         |    p2068 | Chicago (N) Cubs     | ++-
2B Ramirez, C      22|  83/ 88      73/ 85 -10/ -4 |  99 ( 90) | -25----- | ++ | IF,H          |              |         |    p2015 | Chicago (N) Cubs     | ++-
1B Warren, J       24|  86/ 93      85/ 86  -7/ -1 |  99 ( 90) | -3------ | -  | H             |  3           |         |    p2084 | Chicago (N) Cubs     | +++-
2B Lavery, H       26|  87/ 93      85/ 87  -6/  1 |  99 ( 90) | -36----- | -  | IF,H          | F            |         |    p1880 | Chicago (N) Cubs     | *
SP Pugliese, R     26|  82/ 92      84/ 81 -21/ -2 |  99 ( 90) |          |  + | SP,P          |              |         |    p1675 | Chicago (N) Cubs     | *^
SP Santiago, L     36| 104/ 95     109/102   1/  1 |  97 ( 88) |          |  + | SP,P          |     $1.37Mx2 |  $1.22M |    p1398 | Chicago (N) Cubs     | **^
SP Bumgarner, M    36| 104/ 95     105/103   1/  1 |  96 ( 87) |          | -+ | SP,P          | F   $9.67M   |  $1.22M |    p2529 | Chicago (N) Cubs     | **^
DH Greene, T       33|  93/ 93      84/ 94   0/ -1 |  94 ( 86) | -2------ |  + | H             |              | $673.2k | 2B p3885 | Chicago (N) Cubs     | *
SS Machado, D      34|  93/ 92      96/ 92   0/  0 |  93 ( 85) | -3788--- |  + | SS,IF,H       |      $500kx2 | $673.2k |    p3338 | Chicago (N) Cubs     | *
SP Lofgren, G      19|  58/ 82/ 80  64/ 56 -45/-14 |  92 ( 84) |          |    | SP,P          |  6           |         |    p1844 | Chicago (N) Cubs     | +++-
SS Torre, J        21|  60/ 83/ 81  65/ 59 -33/-11 |  92 ( 84) | -3--98-2 |  + | SS,IF,OF,H    |  4           |         |     p231 | Chicago (N) Cubs     | +++-
LF Chick, G        22|  69/ 84      66/ 69 -24/-10 |  92 ( 84) | -2---3-- |  - | OF,H          | F            |         |    p2868 | Chicago (N) Cubs     | +-
SP Rios, G         24|  72/ 84      71/ 72 -31/-10 |  92 ( 84) |          |  + | SP,P          |  7           |         |    p1316 | Chicago (N) Cubs     | +++-
MR Derosa, J       30|  85/ 85     100/ 97  -4/  3 |  92 ( 84) |          |  + | MR,P          |              |         |     p800 | Chicago (N) Cubs     | ***
 C Hallam, C       19|  64/ 80/ 79  68/ 63 -15/  0 |  91 ( 83) | 71------ | +- | C,H           |              |         |    p3284 | Chicago (N) Cubs     | ++
SS Aguila, O       21|  64/ 81/ 80  65/ 64 -29/-12 |  91 ( 83) | -3576--- |  + | SS,IF,H       |              |         |    p1189 | Chicago (N) Cubs     | ++
SS Gamboa, A       23|  76/ 83      75/ 76 -17/ -9 |  91 ( 83) | -38-72-5 |    | SS,IF,OF,H    |              |         | RF  p923 | Chicago (N) Cubs     | ++-
SS Stagner, G      18|  55/ 79/ 77  59/ 55 -38/-15 |  90 ( 82) | -3-66--- |    | SS,IF,H       |              |         | 3B p1307 | Chicago (N) Cubs     | ++-
RF Mitsuo, K       20|  70/ 78      76/ 68 -23/-16 |  90 ( 82) | -2---4-5 |  + | OF,H          |              |         | LF p2128 | Chicago (N) Cubs     | ++
LF Kroeger, H      22|  67/ 82/ 81  62/ 68 -26/-13 |  90 ( 82) | -2---4-2 | -+ | OF,H          |              |         |     p212 | Chicago (N) Cubs     | ++
LF Millwood, E     22|  66/ 80      61/ 67 -27/-14 |  90 ( 82) | -2---5-3 |  + | OF,H          |              |         |    p3022 | Chicago (N) Cubs     | +
3B Calvo, M        20|  65/ 76      67/ 65 -28/-16 |  89 ( 81) | -3-5---- | ++ | IF,H          |              |         |      p35 | Chicago (N) Cubs     | +
SP Rodgers, P      24|  67/ 81      70/ 66 -36/-13 |  89 ( 81) |          |  + | SP,P          |  5           |         |    p2774 | Chicago (N) Cubs     | +++-
SS Hachiro, S      25|  79/ 84      80/ 79 -14/ -8 |  89 ( 81) | -4889--- |  - | SS,IF,H       |  8           |         |    p2891 | Chicago (N) Cubs     | +++-
SP Stedman, S      21|  70/ 76      65/ 72 -33/-18 |  88 ( 80) |          | ++ | SP,P          |              |         |    p3381 | Chicago (N) Cubs     | ++-
SP Amezcua, O      22|  66/ 78      68/ 64 -37/-16 |  88 ( 80) |          |  + | SP,P          |  2           |         |    p1367 | Chicago (N) Cubs     | +++-
SP Britton, Z      38| 107/ 82      91/116   4/-12 |  88 ( 80) |          | ++ | SP,P          | F    $960k   |  $2.87M |    p2798 | Chicago (N) Cubs     | **^
SP Ibañez, S       18|  58/ 74/ 73  54/ 60 -45/-21 |  87 ( 79) |          |  + | SP,P          |              |         |    p3455 | Chicago (N) Cubs     | ++
SP Garcia, A       24|  77/ 81      72/ 80 -26/-13 |  87 ( 79) |          |  - | SP,P          |              |         |     p964 | Chicago (N) Cubs     | ++

**Cincinnati Reds ** |     OVR      vL/vR   vRpl   |           |          | XC | 
SP Cross, M        29| 134/135     132/135  31/ 41 | 181 (165) |          |  + | SP,P          |       $10Mx3 |  $17.7M |     p266 | Cincinnati Reds      | ***^
SP Cole, G         35| 138/134     135/140  35/ 40 | 172 (157) |          | ++ | SP,P          |       $26Mx4 | $19.89M |    p4008 | Cincinnati Reds      | ***^
SP Schlemmer, M    30| 128/128     122/130  25/ 34 | 166 (151) |          |  + | SP,P          |     $1.29M a |  $14.4M | MR  p730 | Cincinnati Reds      | **^
 C Arredondo, A    25| 112/116     113/111  33/ 37 | 160 (146) | 53------ |  + | C,H           | F1           |  $18.8M | 1B  p117 | Cincinnati Reds      | +++++
CF Molina, L       31| 123/123     114/125  30/ 29 | 154 (140) | -2---766 |  - | CF,OF,H       |       $25Mx5 | $17.15M | LF p1497 | Cincinnati Reds      | ****
MR Oyola, R        28| 112/112     139/126  26/ 34 | 152 (138) |          |  + | MR,P          |     $1.83M a | $14.95M | CL p2384 | Cincinnati Reds      | ****^
SP Labout, J       30| 115/116     116/115  12/ 22 | 143 (130) |          | ++ | SP,P          |     $7.02M a |  $7.26M |     p503 | Cincinnati Reds      | ***
MR Baumgardner, B  25| 101/105     106/124  13/ 26 | 137 (125) |          |    | MR,P          |      $500k a |  $7.81M |    p1140 | Cincinnati Reds      | **^
 C Pentecost, M    29| 106/106     107/106  27/ 27 | 136 (124) | 4------- |  - | C,H           |    $985.7k a |  $15.5M |    p1773 | Cincinnati Reds      | **^
CF Margot, M       31| 106/106      99/107  13/ 14 | 123 (112) | -9-4-TTT |  + | CF,OF,IF,H    |        $5Mx2 |  $7.81M |    p4564 | Cincinnati Reds      | **^
SP Fernandez, J    33| 105/105     108/103   2/ 11 | 117 (106) |          |  + | SP,P          |     $21.5Mx3 |  $1.77M |    p4010 | Cincinnati Reds      | **^
LF Larosa, T       30| 103/103     108/102  10/  9 | 116 (106) | -3---3-- | +- | OF,H          |     $1.01M a |  $6.16M | 1B p1009 | Cincinnati Reds      | **^
CF Mateo, M        27|  99/ 99     102/ 99   6/  5 | 112 (102) | -7---979 | +  | CF,OF,H       |     $1.45M a |  $3.97M | RF p2324 | Cincinnati Reds      | **^
 C Denney, J       31|  94/ 94      95/ 94  15/ 15 | 112 (102) | 52------ |  + | C,H           | F    $1.5M   |  $8.91M |    p4341 | Cincinnati Reds      | **^
SP Ross, J         32| 102/102     102/102  -1/  8 | 112 (102) |          |  + | SP,P          | F   $1.78M   | $673.2k | MR p4015 | Cincinnati Reds      | **^
SS Devers, R       33| 102/102     102/102   9/ 10 | 112 (102) | -3756--- |    | SS,IF,H       | F   $2.57M   |  $5.62M | 2B p1659 | Cincinnati Reds      | **^
SS Quinn, R        32| 101/101      98/102   8/  9 | 110 (100) | -38-8--- | -  | SS,IF,H       |      $7.5Mx2 |  $5.07M |    p3901 | *CEI* Cincinnati ... | **^
SS Spinella, W     26|  93/ 97      96/ 92   0/  5 | 109 ( 99) | -36-5--- |  + | SS,IF,H       | F            | $673.2k |    p3027 | Cincinnati Reds      | *^
3B Rendon, A       35| 101/ 97      99/101   8/  5 | 107 ( 97) | -446---- | ++ | IF,H          | F      $5M   |  $5.07M | 2B p3879 | Cincinnati Reds      | **^
MR Moll, S         34|  94/ 93     106/110   5/ 12 | 106 ( 96) |          | ++ | MR,P          |     $2.89Mx4 |  $3.42M |    p4321 | Cincinnati Reds      | *^
LF Linares, A      22|  77/ 92      69/ 79 -16/ -2 | 102 ( 93) | -2---6-3 |  + | OF,H          | F7           |         |     p458 | Cincinnati Reds      | +++
SP McLaren, E      22|  88/ 92      84/ 90 -15/ -2 | 102 ( 93) |          | +  | SP,P          |  2           |         |    p3163 | Cincinnati Reds      | +++++
RF Zepeda, R       20|  69/ 90/ 89  66/ 69 -24/ -5 | 101 ( 92) | -2---3-8 |  + | OF,H          |  3           |         |    p1962 | Cincinnati Reds      | +++-
SP Overton, D      34|  97/ 96      96/ 97  -6/  2 |  99 ( 90) |          | ++ | SP,P          | F   $2.53M   |         | MR p4431 | Cincinnati Reds      | *
3B Wisdom, P       34|  97/ 96     101/ 97   4/  4 |  99 ( 90) | -355---- |  - | IF,H          |       $15Mx3 |  $2.87M |    p4240 | Cincinnati Reds      | **^
DH Roberts, J      20|  64/ 86/ 85  68/ 63 -29/ -9 |  97 ( 88) | -3------ |  + | H             |              |         | SS p1057 | Cincinnati Reds      | ++
RF Dalke, A        22|  71/ 87/ 86  65/ 72 -22/ -8 |  96 ( 87) | -2---838 |  + | CF,OF,H       |  6           |         |    p2451 | Cincinnati Reds      | +++
MR Farlow, B       32|  88/ 88      98/104  -1/  6 |  95 ( 86) |          |    | MR,P          | F    $3.2M   | $673.2k |     p651 | Cincinnati Reds      | *^
